Unidade Territorial,Cluster,Distancia_Centroide
MARCOLÂNDIA,2,1.3308655244133334
PAQUETÁ,2,1.3885960967716304
MARCOS PARENTE,2,1.391628478155862
VÁRZEA BRANCA,2,1.4396523942651231
CARIDADE DO PIAUÍ,2,1.445379899994683
BARRAS,2,1.4708027239524495
PARNAGUÁ,2,1.480219791746175
SOCORRO DO PIAUÍ,2,1.5194711527900613
REGENERAÇÃO,2,1.5298531665510948
BARRO DURO,2,1.6023757854460199
SEBASTIÃO BARROS,2,1.603524043706211
PRATA DO PIAUÍ,2,1.6089651420070643
AROEIRAS DO ITAIM,2,1.6387090246794611
SÃO JOSÉ DO DIVINO,2,1.6601859264566132
CURRAIS,2,1.660836338243048
PAVUSSU,2,1.6615614158369356
NOVO SANTO ANTÔNIO,2,1.66180219239302
SÃO FRANCISCO DE ASSIS DO PIAUÍ,2,1.7241285581979104
JACOBINA DO PIAUÍ,2,1.7284115668510929
REDENÇÃO DO GURGUÉIA,2,1.7378212621694435
CAMPO ALEGRE DO FIDALGO,2,1.782935178571959
COLÔNIA DO GURGUÉIA,2,1.8006538864699317
ANGICAL DO PIAUÍ,2,1.8665996405786331
BETÂNIA DO PIAUÍ,2,1.9670351523945797
BOA HORA,2,2.0186603672189176
SÃO JOSÉ DO PEIXE,2,2.026982142309757
FLORESTA DO PIAUÍ,2,2.0876295451695386
LANDRI SALES,2,2.117562352558269
CAMPO LARGO DO PIAUÍ,2,2.1656578448382446
FARTURA DO PIAUÍ,2,2.208895142079837
SÃO FRANCISCO DO PIAUÍ,2,2.241262560031438
GUARIBAS,2,2.411679724582682
NOSSA SENHORA DOS REMÉDIOS,2,2.414889824145119
VERA MENDES,2,2.620618576855246
LAGOA ALEGRE,2,3.0377507849767844
JUREMA,2,3.0975639227242446
SANTO INÁCIO DO PIAUÍ,2,3.347323717780388
CAPITÃO GERVÁSIO OLIVEIRA,2,4.069031917687445
