"Código","Unidade Territorial","UF","Referência","Pessoas beneficiárias"
"220885","RIACHO FRIO","PI","12/2022","3391"
"220887","RIBEIRA DO PIAUÍ","PI","12/2022","2826"
"220890","RIBEIRO GONÇALVES","PI","12/2022","3405"
"220900","RIO GRANDE DO PIAUÍ","PI","12/2022","3916"
"220910","SANTA CRUZ DO PIAUÍ","PI","12/2022","3347"
"220915","SANTA CRUZ DOS MILAGRES","PI","12/2022","1474"
"220920","SANTA FILOMENA","PI","12/2022","3860"
"220930","SANTA LUZ","PI","12/2022","4015"
"220935","SANTANA DO PIAUÍ","PI","12/2022","1813"
"220937","SANTA ROSA DO PIAUÍ","PI","12/2022","2822"
"220940","SANTO ANTÔNIO DE LISBOA","PI","12/2022","3382"
"220945","SANTO ANTÔNIO DOS MILAGRES","PI","12/2022","1187"
"220950","SANTO INÁCIO DO PIAUÍ","PI","12/2022","1952"
"220955","SÃO BRAZ DO PIAUÍ","PI","12/2022","3108"
"220960","SÃO FÉLIX DO PIAUÍ","PI","12/2022","1118"
"220965","SÃO FRANCISCO DE ASSIS DO PIAUÍ","PI","12/2022","3921"
"220970","SÃO FRANCISCO DO PIAUÍ","PI","12/2022","3449"
"220975","SÃO GONÇALO DO GURGUÉIA","PI","12/2022","1647"
"220980","SÃO GONÇALO DO PIAUÍ","PI","12/2022","2767"
"220985","SÃO JOÃO DA CANABRAVA","PI","12/2022","2588"
"220987","SÃO JOÃO DA FRONTEIRA","PI","12/2022","3542"
"220990","SÃO JOÃO DA SERRA","PI","12/2022","3683"
"220995","SÃO JOÃO DA VARJOTA","PI","12/2022","2717"
"220997","SÃO JOÃO DO ARRAIAL","PI","12/2022","6207"
"221000","SÃO JOÃO DO PIAUÍ","PI","12/2022","10098"
"221005","SÃO JOSÉ DO DIVINO","PI","12/2022","3230"
"221010","SÃO JOSÉ DO PEIXE","PI","12/2022","2130"
"221020","SÃO JOSÉ DO PIAUÍ","PI","12/2022","3537"
"221030","SÃO JULIÃO","PI","12/2022","3211"
"221035","SÃO LOURENÇO DO PIAUÍ","PI","12/2022","3215"
"221037","SÃO LUIS DO PIAUÍ","PI","12/2022","1280"
"221038","SÃO MIGUEL DA BAIXA GRANDE","PI","12/2022","995"
"221039","SÃO MIGUEL DO FIDALGO","PI","12/2022","1778"
"221040","SÃO MIGUEL DO TAPUIO","PI","12/2022","9886"
"221050","SÃO PEDRO DO PIAUÍ","PI","12/2022","8845"
"221060","SÃO RAIMUNDO NONATO","PI","12/2022","19572"
"221062","SEBASTIÃO BARROS","PI","12/2022","2953"
